text,label
set a timer for the washing machine,6
change the refrigerator,7
turn off the coffee maker,8
switch on the pump,14
connect the light,1
turn on the pump,14
connect the humidifier,12
schedule the washing machine,6
set a timer for the humidifier,12
configure the robot vacuum,11
activate the robot vacuum,11
turn off the light,1
schedule the robot vacuum,11
switch off the humidifier,12
turn on the electric kettle,13
assign the pump,14
set the air conditioner,3
switch on the heater,2
link the light,1
switch on the pump,14
switch off the television,4
deactivate the electric kettle,13
assign the refrigerator,7
connect the light,1
change the air conditioner,3
switch on the pump,14
configure the heater,2
turn off the humidifier,12
switch off the microwave,9
change the washing machine,6
schedule the oven,5
set a timer for the refrigerator,7
deactivate the fan,0
connect the refrigerator,7
turn off the refrigerator,7
turn off the washing machine,6
turn on the microwave,9
activate the television,4
configure the coffee maker,8
switch off the coffee maker,8
map the heater,2
deactivate the washing machine,6
set a timer for the speaker,10
switch on the pump,14
switch off the speaker,10
assign the speaker,10
switch off the robot vacuum,11
switch on the air conditioner,3
adjust the microwave,9
switch on the television,4
activate the speaker,10
activate the humidifier,12
deactivate the coffee maker,8
map the fan,0
turn off the light,1
switch on the humidifier,12
turn off the oven,5
schedule the television,4
switch on the coffee maker,8
change the speaker,10
change the fan,0
connect the coffee maker,8
set a timer for the light,1
activate the robot vacuum,11
adjust the microwave,9
set a timer for the fan,0
set a timer for the refrigerator,7
change the television,4
link the robot vacuum,11
set the fan,0
activate the television,4
link the oven,5
assign the refrigerator,7
activate the microwave,9
assign the humidifier,12
activate the coffee maker,8
activate the refrigerator,7
schedule the speaker,10
connect the microwave,9
change the washing machine,6
assign the refrigerator,7
turn off the fan,0
switch on the pump,14
turn on the pump,14
switch on the pump,14
set a timer for the robot vacuum,11
adjust the air conditioner,3
change the electric kettle,13
assign the fan,0
turn off the oven,5
configure the humidifier,12
turn on the microwave,9
set a timer for the air conditioner,3
turn on the washing machine,6
turn off the air conditioner,3
map the refrigerator,7
turn on the heater,2
map the oven,5
connect the light,1
assign the electric kettle,13
schedule the washing machine,6
switch off the air conditioner,3
activate the refrigerator,7
assign the robot vacuum,11
change the electric kettle,13
switch on the heater,2
assign the heater,2
schedule the television,4
turn off the air conditioner,3
deactivate the coffee maker,8
set a timer for the speaker,10
schedule the television,4
activate the television,4
turn on the air conditioner,3
switch off the electric kettle,13
change the electric kettle,13
adjust the electric kettle,13
schedule the oven,5
adjust the washing machine,6
link the refrigerator,7
map the oven,5
deactivate the light,1
connect the coffee maker,8
adjust the pump,14
set the washing machine,6
switch off the oven,5
switch off the microwave,9
switch off the washing machine,6
change the speaker,10
schedule the washing machine,6
link the electric kettle,13
switch on the refrigerator,7
connect the pump,14
set a timer for the refrigerator,7
switch off the light,1
deactivate the television,4
set the air conditioner,3
set a timer for the speaker,10
deactivate the fan,0
adjust the fan,0
turn off the light,1
set a timer for the humidifier,12
assign the coffee maker,8
turn off the humidifier,12
turn on the heater,2
activate the pump,14
turn off the speaker,10
set a timer for the coffee maker,8
schedule the speaker,10
link the humidifier,12
schedule the washing machine,6
change the light,1
set the pump,14
switch on the electric kettle,13
activate the air conditioner,3
switch on the light,1
set the television,4
deactivate the coffee maker,8
configure the fan,0
configure the pump,14
configure the robot vacuum,11
activate the air conditioner,3
assign the washing machine,6
deactivate the robot vacuum,11
turn off the speaker,10
adjust the refrigerator,7
turn off the robot vacuum,11
map the electric kettle,13
assign the heater,2
switch on the light,1
set a timer for the television,4
link the robot vacuum,11
link the humidifier,12
set the speaker,10
schedule the air conditioner,3
turn off the pump,14
deactivate the washing machine,6
assign the light,1
set the pump,14
adjust the air conditioner,3
activate the oven,5
assign the microwave,9
change the washing machine,6
switch on the refrigerator,7
adjust the washing machine,6
switch off the refrigerator,7
connect the oven,5
connect the oven,5
map the television,4
deactivate the robot vacuum,11
assign the microwave,9
map the television,4
change the washing machine,6
set the speaker,10
assign the speaker,10
activate the washing machine,6
turn off the robot vacuum,11
map the humidifier,12
set a timer for the oven,5
map the speaker,10
set a timer for the pump,14
change the refrigerator,7
turn off the pump,14
switch on the robot vacuum,11
change the television,4
turn on the robot vacuum,11
adjust the washing machine,6
set a timer for the microwave,9
switch off the television,4
switch on the oven,5
assign the air conditioner,3
change the fan,0
deactivate the robot vacuum,11
change the robot vacuum,11
turn on the oven,5
switch off the television,4
adjust the electric kettle,13
schedule the oven,5
turn off the refrigerator,7
adjust the fan,0
adjust the air conditioner,3
assign the humidifier,12
connect the refrigerator,7
schedule the microwave,9
assign the electric kettle,13
set the fan,0
switch off the electric kettle,13
assign the speaker,10
adjust the washing machine,6
switch on the heater,2
set the fan,0
set the robot vacuum,11
set the air conditioner,3
turn on the coffee maker,8
change the robot vacuum,11
switch off the air conditioner,3
activate the air conditioner,3
deactivate the fan,0
adjust the robot vacuum,11
turn on the humidifier,12
schedule the light,1
deactivate the television,4
adjust the television,4
set a timer for the refrigerator,7
change the coffee maker,8
activate the television,4
turn on the air conditioner,3
map the microwave,9
configure the light,1
configure the fan,0
schedule the light,1
switch on the heater,2
turn on the robot vacuum,11
change the heater,2
schedule the fan,0
change the light,1
link the heater,2
set the heater,2
connect the pump,14
turn on the humidifier,12
map the air conditioner,3
turn on the pump,14
connect the microwave,9
switch off the coffee maker,8
schedule the humidifier,12
activate the speaker,10
map the speaker,10
adjust the heater,2
set the coffee maker,8
set a timer for the microwave,9
activate the coffee maker,8
switch off the television,4
turn on the robot vacuum,11
change the robot vacuum,11
configure the oven,5
activate the humidifier,12
link the heater,2
activate the speaker,10
set a timer for the washing machine,6
turn on the television,4
set the refrigerator,7
turn on the pump,14
link the light,1
turn on the speaker,10
switch off the microwave,9
switch off the robot vacuum,11
activate the fan,0
switch on the humidifier,12
turn off the television,4
configure the microwave,9
configure the light,1
switch on the speaker,10
set a timer for the television,4
switch off the light,1
map the speaker,10
connect the heater,2
assign the washing machine,6
activate the light,1
schedule the fan,0
turn on the electric kettle,13
set a timer for the pump,14
change the air conditioner,3
schedule the microwave,9
set a timer for the light,1
set a timer for the robot vacuum,11
switch off the humidifier,12
turn on the speaker,10
switch off the electric kettle,13
switch on the television,4
turn off the light,1
assign the robot vacuum,11
turn on the heater,2
switch on the microwave,9
activate the air conditioner,3
assign the pump,14
set a timer for the pump,14
configure the electric kettle,13
turn on the refrigerator,7
set the fan,0
adjust the light,1
switch on the television,4
map the pump,14
configure the speaker,10
schedule the coffee maker,8
switch on the coffee maker,8
connect the microwave,9
connect the oven,5
schedule the microwave,9
deactivate the pump,14
map the oven,5
link the heater,2
map the light,1
set a timer for the television,4
switch off the humidifier,12
set the oven,5
configure the robot vacuum,11
adjust the electric kettle,13
change the coffee maker,8
set the refrigerator,7
schedule the heater,2
configure the television,4
turn on the speaker,10
turn off the television,4
activate the speaker,10
change the washing machine,6
connect the oven,5
assign the heater,2
deactivate the microwave,9
turn on the oven,5
link the coffee maker,8
turn off the microwave,9
deactivate the electric kettle,13
connect the pump,14
activate the robot vacuum,11
set the electric kettle,13
switch on the television,4
link the robot vacuum,11
connect the coffee maker,8
change the humidifier,12
change the electric kettle,13
schedule the robot vacuum,11
deactivate the robot vacuum,11
set a timer for the pump,14
map the refrigerator,7
switch off the washing machine,6
link the pump,14
activate the microwave,9
set a timer for the pump,14
turn off the electric kettle,13
schedule the light,1
activate the oven,5
map the electric kettle,13
configure the humidifier,12
switch off the speaker,10
link the electric kettle,13
turn on the robot vacuum,11
switch off the electric kettle,13
adjust the microwave,9
link the oven,5
schedule the oven,5
adjust the light,1
link the robot vacuum,11
connect the heater,2
assign the oven,5
switch on the fan,0
set the humidifier,12
link the washing machine,6
assign the oven,5
link the television,4
schedule the pump,14
adjust the coffee maker,8
deactivate the coffee maker,8
adjust the speaker,10
activate the heater,2
connect the humidifier,12
configure the oven,5
link the robot vacuum,11
turn on the speaker,10
schedule the pump,14
activate the air conditioner,3
activate the air conditioner,3
deactivate the pump,14
set a timer for the microwave,9
change the electric kettle,13
configure the pump,14
adjust the humidifier,12
deactivate the refrigerator,7
switch on the fan,0
schedule the refrigerator,7
map the humidifier,12
turn off the refrigerator,7
schedule the humidifier,12
assign the electric kettle,13
switch off the pump,14
link the light,1
set a timer for the microwave,9
assign the light,1
deactivate the fan,0
activate the washing machine,6
link the microwave,9
deactivate the robot vacuum,11
deactivate the television,4
schedule the coffee maker,8
schedule the light,1
turn on the washing machine,6
change the speaker,10
connect the light,1
change the speaker,10
assign the pump,14
activate the air conditioner,3
switch off the heater,2
switch on the fan,0
change the refrigerator,7
change the speaker,10
link the television,4
deactivate the air conditioner,3
turn off the oven,5
turn off the robot vacuum,11
turn off the microwave,9
set a timer for the fan,0
connect the pump,14
assign the pump,14
map the pump,14
assign the washing machine,6
set a timer for the oven,5
adjust the television,4
switch on the microwave,9
connect the heater,2
deactivate the oven,5
switch off the oven,5
adjust the television,4
link the robot vacuum,11
switch off the refrigerator,7
set a timer for the fan,0
deactivate the fan,0
map the oven,5
set a timer for the microwave,9
set the electric kettle,13
link the electric kettle,13
adjust the washing machine,6
deactivate the humidifier,12
turn off the coffee maker,8
switch off the air conditioner,3
activate the pump,14
set the heater,2
change the air conditioner,3
adjust the oven,5
schedule the pump,14
connect the coffee maker,8
turn off the refrigerator,7
link the refrigerator,7
map the washing machine,6
turn off the television,4
link the pump,14
switch off the fan,0
map the fan,0
activate the speaker,10
assign the robot vacuum,11
schedule the refrigerator,7
activate the humidifier,12
assign the oven,5
turn off the fan,0
connect the fan,0
turn on the light,1
turn off the coffee maker,8
configure the heater,2
adjust the light,1
deactivate the light,1
change the heater,2
change the coffee maker,8
switch off the robot vacuum,11
configure the light,1
map the speaker,10
map the washing machine,6
change the speaker,10
switch off the washing machine,6
assign the electric kettle,13
change the pump,14
connect the microwave,9
deactivate the robot vacuum,11
set a timer for the humidifier,12
switch off the light,1
connect the light,1
configure the coffee maker,8
adjust the humidifier,12
assign the television,4
schedule the microwave,9
assign the robot vacuum,11
set the robot vacuum,11
assign the fan,0
adjust the oven,5
set the refrigerator,7
change the speaker,10
connect the television,4
configure the washing machine,6
change the heater,2
assign the electric kettle,13
activate the oven,5
connect the washing machine,6
configure the microwave,9
set a timer for the pump,14
switch on the electric kettle,13
adjust the oven,5
switch on the robot vacuum,11
set a timer for the washing machine,6
deactivate the refrigerator,7
connect the humidifier,12
change the coffee maker,8
set the speaker,10
turn on the fan,0
switch off the oven,5
switch on the speaker,10
link the oven,5
connect the television,4
map the fan,0
turn on the oven,5
adjust the pump,14
set a timer for the fan,0
assign the microwave,9
turn on the air conditioner,3
switch off the fan,0
turn off the humidifier,12
turn off the microwave,9
adjust the television,4
turn off the fan,0
switch on the electric kettle,13
turn on the coffee maker,8
adjust the speaker,10
switch on the microwave,9
switch on the heater,2
configure the television,4
set a timer for the speaker,10
switch off the fan,0
switch on the microwave,9
turn off the robot vacuum,11
connect the washing machine,6
adjust the light,1
activate the humidifier,12
activate the fan,0
assign the speaker,10
configure the humidifier,12
deactivate the refrigerator,7
assign the robot vacuum,11
turn on the washing machine,6
deactivate the pump,14
map the electric kettle,13
set a timer for the television,4
turn off the oven,5
adjust the heater,2
link the speaker,10
set the coffee maker,8
map the speaker,10
assign the speaker,10
switch on the pump,14
turn on the oven,5
configure the electric kettle,13
map the television,4
turn on the coffee maker,8
switch off the pump,14
configure the refrigerator,7
configure the heater,2
turn on the air conditioner,3
set the oven,5
turn off the electric kettle,13
activate the refrigerator,7
switch off the pump,14
map the robot vacuum,11
schedule the television,4
configure the air conditioner,3
deactivate the oven,5
map the refrigerator,7
switch on the robot vacuum,11
deactivate the microwave,9
set the washing machine,6
set the television,4
map the light,1
turn off the fan,0
assign the coffee maker,8
configure the refrigerator,7
link the speaker,10
configure the speaker,10
assign the speaker,10
configure the speaker,10
map the air conditioner,3
configure the light,1
set a timer for the robot vacuum,11
map the coffee maker,8
link the heater,2
adjust the refrigerator,7
deactivate the electric kettle,13
connect the air conditioner,3
set the pump,14
configure the pump,14
set the microwave,9
change the heater,2
schedule the microwave,9
turn on the heater,2
assign the heater,2
connect the heater,2
assign the refrigerator,7
connect the oven,5
set the television,4
turn off the light,1
set the humidifier,12
change the refrigerator,7
schedule the robot vacuum,11
activate the refrigerator,7
adjust the air conditioner,3
set the microwave,9
schedule the television,4
switch on the light,1
change the oven,5
set a timer for the fan,0
deactivate the oven,5
adjust the speaker,10
schedule the humidifier,12
link the light,1
configure the microwave,9
set the microwave,9
schedule the coffee maker,8
activate the speaker,10
connect the robot vacuum,11
schedule the washing machine,6
switch off the fan,0
link the coffee maker,8
switch off the refrigerator,7
link the fan,0
adjust the coffee maker,8
deactivate the humidifier,12
connect the air conditioner,3
configure the humidifier,12
change the heater,2
connect the pump,14
set a timer for the coffee maker,8
switch on the humidifier,12
set the light,1
configure the television,4
activate the microwave,9
set a timer for the humidifier,12
assign the coffee maker,8
switch off the humidifier,12
connect the microwave,9
turn off the television,4
switch on the air conditioner,3
schedule the air conditioner,3
set a timer for the fan,0
map the humidifier,12
connect the fan,0
adjust the refrigerator,7
turn off the speaker,10
map the washing machine,6
change the electric kettle,13
map the microwave,9
configure the electric kettle,13
configure the television,4
switch on the air conditioner,3
set the heater,2
turn on the microwave,9
configure the air conditioner,3
turn off the speaker,10
adjust the speaker,10
map the heater,2
set a timer for the humidifier,12
turn off the washing machine,6
adjust the robot vacuum,11
set the air conditioner,3
activate the washing machine,6
turn off the coffee maker,8
turn off the heater,2
switch on the electric kettle,13
connect the television,4
schedule the electric kettle,13
set a timer for the robot vacuum,11
assign the humidifier,12
set a timer for the refrigerator,7
adjust the air conditioner,3
assign the coffee maker,8
configure the heater,2
change the light,1
switch on the refrigerator,7
switch off the pump,14
activate the washing machine,6
set a timer for the fan,0
activate the electric kettle,13
schedule the refrigerator,7
adjust the robot vacuum,11
activate the coffee maker,8
change the humidifier,12
connect the heater,2
turn off the microwave,9
switch off the heater,2
activate the air conditioner,3
link the pump,14
map the washing machine,6
change the air conditioner,3
switch off the air conditioner,3
switch on the speaker,10
connect the speaker,10
set the fan,0
connect the electric kettle,13
configure the microwave,9
switch off the robot vacuum,11
link the television,4
activate the light,1
assign the television,4
configure the fan,0
map the refrigerator,7
configure the washing machine,6
change the television,4
link the humidifier,12
switch off the coffee maker,8
link the washing machine,6
turn on the humidifier,12
change the light,1
set a timer for the coffee maker,8
deactivate the washing machine,6
map the heater,2
change the washing machine,6
switch on the robot vacuum,11
set a timer for the television,4
adjust the robot vacuum,11
change the speaker,10
schedule the electric kettle,13
configure the microwave,9
turn on the coffee maker,8
connect the speaker,10
activate the refrigerator,7
deactivate the pump,14
switch on the air conditioner,3
set a timer for the microwave,9
schedule the robot vacuum,11
connect the speaker,10
assign the heater,2
turn off the heater,2
switch off the refrigerator,7
schedule the air conditioner,3
connect the robot vacuum,11
change the fan,0
configure the electric kettle,13
switch off the heater,2
schedule the refrigerator,7
set a timer for the light,1
deactivate the air conditioner,3
adjust the air conditioner,3
configure the humidifier,12
assign the heater,2
link the speaker,10
adjust the pump,14
switch on the light,1
set a timer for the coffee maker,8
configure the oven,5
deactivate the speaker,10
connect the robot vacuum,11
activate the oven,5
switch on the refrigerator,7
assign the television,4
turn off the air conditioner,3
turn off the light,1
assign the pump,14
switch off the television,4
adjust the humidifier,12
turn off the humidifier,12
map the refrigerator,7
map the air conditioner,3
set the heater,2
change the microwave,9
map the fan,0
switch on the refrigerator,7
link the coffee maker,8
set the light,1
activate the microwave,9
assign the electric kettle,13
set the oven,5
set a timer for the microwave,9
switch off the fan,0
turn on the coffee maker,8
turn on the fan,0
map the robot vacuum,11
turn on the air conditioner,3
change the washing machine,6
activate the fan,0
schedule the air conditioner,3
set a timer for the electric kettle,13
adjust the refrigerator,7
adjust the television,4
activate the heater,2
set a timer for the washing machine,6
schedule the speaker,10
assign the television,4
turn off the air conditioner,3
switch on the air conditioner,3
set the air conditioner,3
configure the coffee maker,8
set a timer for the pump,14
schedule the television,4
assign the refrigerator,7
assign the pump,14
activate the television,4
deactivate the light,1
deactivate the speaker,10
turn off the fan,0
switch off the speaker,10
configure the refrigerator,7
configure the electric kettle,13
link the air conditioner,3
schedule the electric kettle,13
connect the washing machine,6
schedule the speaker,10
activate the air conditioner,3
activate the pump,14
set a timer for the light,1
schedule the speaker,10
activate the robot vacuum,11
turn on the television,4
connect the humidifier,12
schedule the heater,2
map the heater,2
turn off the humidifier,12
switch off the heater,2
assign the air conditioner,3
activate the light,1
turn on the fan,0
map the light,1
change the oven,5
link the pump,14
map the fan,0
link the air conditioner,3
turn on the coffee maker,8
switch off the microwave,9
set a timer for the oven,5
switch on the pump,14
assign the fan,0
set the light,1
connect the television,4
switch on the speaker,10
configure the washing machine,6
switch on the coffee maker,8
set the refrigerator,7
link the washing machine,6
deactivate the fan,0
switch off the speaker,10
schedule the coffee maker,8
connect the robot vacuum,11
turn on the heater,2
switch off the air conditioner,3
turn on the air conditioner,3
deactivate the robot vacuum,11
activate the refrigerator,7
set the electric kettle,13
link the speaker,10
schedule the electric kettle,13
switch off the pump,14
set the electric kettle,13
assign the pump,14
switch off the heater,2
turn on the refrigerator,7
connect the electric kettle,13
configure the light,1
configure the robot vacuum,11
deactivate the pump,14
configure the humidifier,12
set a timer for the air conditioner,3
link the heater,2
schedule the pump,14
link the light,1
change the light,1
change the robot vacuum,11
assign the coffee maker,8
activate the pump,14
set the oven,5
adjust the electric kettle,13
link the air conditioner,3
adjust the microwave,9
configure the television,4
activate the coffee maker,8
switch off the speaker,10
turn off the heater,2
set a timer for the speaker,10
adjust the humidifier,12
deactivate the oven,5
schedule the heater,2
schedule the pump,14
link the washing machine,6
link the refrigerator,7
connect the refrigerator,7
activate the pump,14
set the humidifier,12
turn off the heater,2
map the fan,0
configure the humidifier,12
configure the light,1
switch on the television,4
schedule the air conditioner,3
switch off the coffee maker,8
activate the coffee maker,8
set a timer for the television,4
deactivate the television,4
deactivate the microwave,9
schedule the television,4
set a timer for the refrigerator,7
adjust the air conditioner,3
turn on the air conditioner,3
activate the washing machine,6
link the refrigerator,7
switch on the light,1
activate the light,1
configure the pump,14
turn on the pump,14
set a timer for the heater,2
set the refrigerator,7
change the microwave,9
turn off the humidifier,12
activate the robot vacuum,11
configure the fan,0
connect the robot vacuum,11
switch off the washing machine,6
configure the coffee maker,8
turn on the light,1
set a timer for the robot vacuum,11
schedule the heater,2
map the robot vacuum,11
set a timer for the television,4
map the television,4
link the electric kettle,13
link the humidifier,12
turn off the washing machine,6
deactivate the heater,2
assign the oven,5
switch on the humidifier,12
link the pump,14
set the humidifier,12
set the washing machine,6
link the air conditioner,3
set a timer for the humidifier,12
map the heater,2
change the robot vacuum,11
set a timer for the coffee maker,8
deactivate the refrigerator,7
link the microwave,9
set a timer for the speaker,10
change the heater,2
set the air conditioner,3
turn off the light,1
assign the microwave,9
link the television,4
schedule the light,1
